Date,GMV,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing, Affiliates,SEM,Radio,Other,Special_Sale_Flag,NPS
2015-07-05,623671.0,2.7580645161290325,0.03225806451612903,0.4032258064516129,1.1935483870967742,0.0,0.20967741935483872,0.08064516129032258,0.8064516129032258,0.0,0.0,0.0,54.6
2015-07-12,41002829.79975717,3.861290322580645,0.04516129032258064,0.564516129032258,1.6709677419354838,0.0,0.2935483870967742,0.11290322580645161,1.129032258064516,0.0,0.0,0.0,54.6
2015-07-19,47580418.763377585,3.861290322580645,0.04516129032258064,0.564516129032258,1.6709677419354838,0.0,0.2935483870967742,0.11290322580645161,1.129032258064516,0.0,0.0,1.0,54.6
2015-07-26,45187859.5,3.861290322580645,0.04516129032258064,0.564516129032258,1.6709677419354838,0.0,0.2935483870967742,0.11290322580645161,1.129032258064516,0.0,0.0,0.0,54.6
2015-08-02,31331539.666666668,3.087096774193548,0.03225806451612903,0.48709677419354835,1.264516129032258,0.0,0.21612903225806454,0.08709677419354839,0.967741935483871,0.0,0.0,0.0,56.142857142857146
2015-08-09,20264.0,1.1516129032258062,0.0,0.2935483870967742,0.24838709677419354,0.0,0.02258064516129032,0.02258064516129032,0.564516129032258,0.0,0.0,0.0,60.0
2015-08-16,11712.0,1.1516129032258062,0.0,0.2935483870967742,0.24838709677419354,0.0,0.02258064516129032,0.02258064516129032,0.564516129032258,0.0,0.0,1.0,60.0
2015-08-23,12129.0,1.1516129032258062,0.0,0.2935483870967742,0.24838709677419354,0.0,0.02258064516129032,0.02258064516129032,0.564516129032258,0.0,0.0,1.0,60.0
2015-08-30,78769.0,1.1516129032258062,0.0,0.2935483870967742,0.24838709677419354,0.0,0.02258064516129032,0.02258064516129032,0.564516129032258,0.0,0.0,1.0,60.0
2015-09-06,81877355.50525828,19.42451612903226,0.78,0.3219354838709677,12.595483870967742,0.12,3.283225806451613,1.0032258064516129,1.3206451612903225,0.0,0.0,0.0,48.771428571428565
2015-09-13,90902953.0,22.47,0.91,0.32666666666666666,14.653333333333332,0.14,3.826666666666666,1.1666666666666665,1.4466666666666668,0.0,0.0,0.0,46.9
2015-09-20,91287730.00235581,22.47,0.91,0.32666666666666666,14.653333333333332,0.14,3.826666666666666,1.1666666666666665,1.4466666666666668,0.0,0.0,0.0,46.9
2015-09-27,94849020.0,22.47,0.91,0.32666666666666666,14.653333333333332,0.14,3.826666666666666,1.1666666666666665,1.4466666666666668,0.0,0.0,0.0,46.9
2015-10-04,61022336.0,31.591290322580644,1.1770967741935483,1.765806451612903,17.209032258064518,0.49870967741935485,4.788387096774193,1.4032258064516128,4.736129032258065,0.0,0.0,0.0,45.471428571428575
2015-10-11,41071612.0,38.43225806451613,1.3774193548387095,2.8451612903225807,19.125806451612902,0.767741935483871,5.509677419354838,1.5806451612903225,7.203225806451613,0.0,0.0,0.0,44.4
2015-10-18,295492713.97561246,38.43225806451613,1.3774193548387095,2.8451612903225807,19.125806451612902,0.767741935483871,5.509677419354838,1.5806451612903225,7.203225806451613,0.0,0.0,1.0,44.4
2015-10-25,46048416.57130428,38.43225806451613,1.3774193548387095,2.8451612903225807,19.125806451612902,0.767741935483871,5.509677419354838,1.5806451612903225,7.203225806451613,0.0,0.0,0.0,44.4
2015-11-01,90354546.93484172,34.648602150537634,1.3206451612903225,2.482043010752688,16.866881720430108,0.664731182795699,5.375913978494623,1.5748387096774192,6.34752688172043,0.0,0.0,0.0,44.771428571428565
2015-11-08,114494300.55483013,11.946666666666667,0.9800000000000001,0.30333333333333334,3.3133333333333335,0.04666666666666667,4.573333333333334,1.54,1.2133333333333334,0.0,0.0,1.0,47.0
2015-11-15,93266712.60484399,11.946666666666667,0.9800000000000001,0.30333333333333334,3.3133333333333335,0.04666666666666667,4.573333333333334,1.54,1.2133333333333334,0.0,0.0,1.0,47.0
2015-11-22,46737426.38417806,11.946666666666667,0.9800000000000001,0.30333333333333334,3.3133333333333335,0.04666666666666667,4.573333333333334,1.54,1.2133333333333334,0.0,0.0,0.0,47.0
2015-11-29,46297720.50108554,11.946666666666667,0.9800000000000001,0.30333333333333334,3.3133333333333335,0.04666666666666667,4.573333333333334,1.54,1.2133333333333334,0.0,0.0,0.0,47.0
2015-12-06,64928210.04711844,22.358279569892474,1.1851612903225806,0.6433333333333333,11.44752688172043,0.21956989247311828,5.008172043010753,1.5361290322580645,2.341075268817204,0.0,0.0,0.0,45.97142857142857
2015-12-13,107532758.28816597,24.093548387096774,1.2193548387096773,0.7000000000000001,12.803225806451614,0.24838709677419354,5.080645161290323,1.535483870967742,2.529032258064516,0.0,0.0,0.0,45.8
2015-12-20,67547539.53839444,24.093548387096774,1.2193548387096773,0.7000000000000001,12.803225806451614,0.24838709677419354,5.080645161290323,1.535483870967742,2.529032258064516,0.0,0.0,0.0,45.8
2015-12-27,152436808.8072928,24.093548387096774,1.2193548387096773,0.7000000000000001,12.803225806451614,0.24838709677419354,5.080645161290323,1.535483870967742,2.529032258064516,0.0,0.0,1.0,45.8
2016-01-03,69968539.37556222,20.948387096774194,1.1225806451612903,0.4483870967741936,7.72258064516129,0.22903225806451613,5.119354838709677,1.5935483870967742,1.8516129032258064,0.26129032258064516,2.6225806451612907,1.0,46.357142857142854
2016-01-10,65975118.25001156,16.75483870967742,0.9935483870967742,0.11290322580645161,0.9483870967741936,0.20322580645161292,5.170967741935484,1.6709677419354838,0.9483870967741936,0.6096774193548387,6.119354838709678,0.0,47.1
2016-01-17,65860781.336347856,16.75483870967742,0.9935483870967742,0.11290322580645161,0.9483870967741936,0.20322580645161292,5.170967741935484,1.6709677419354838,0.9483870967741936,0.6096774193548387,6.119354838709678,0.0,47.1
2016-01-24,141815127.49268022,16.75483870967742,0.9935483870967742,0.11290322580645161,0.9483870967741936,0.20322580645161292,5.170967741935484,1.6709677419354838,0.9483870967741936,0.6096774193548387,6.119354838709678,1.0,47.1
2016-01-31,74779556.62663195,16.75483870967742,0.9935483870967742,0.11290322580645161,0.9483870967741936,0.20322580645161292,5.170967741935484,1.6709677419354838,0.9483870967741936,0.6096774193548387,6.119354838709678,0.0,47.1
2016-02-07,72885771.00017656,11.610344827586207,0.6275862068965518,0.45862068965517233,2.8241379310344827,0.14482758620689656,4.803448275862069,1.5689655172413794,1.1827586206896552,0.0,0.0,1.0,50.3
2016-02-14,66452267.80325553,11.610344827586207,0.6275862068965518,0.45862068965517233,2.8241379310344827,0.14482758620689656,4.803448275862069,1.5689655172413794,1.1827586206896552,0.0,0.0,1.0,50.3
2016-02-21,91876797.10278392,11.610344827586207,0.6275862068965518,0.45862068965517233,2.8241379310344827,0.14482758620689656,4.803448275862069,1.5689655172413794,1.1827586206896552,0.0,0.0,1.0,50.3
2016-02-28,79720595.02527745,11.610344827586207,0.6275862068965518,0.45862068965517233,2.8241379310344827,0.14482758620689656,4.803448275862069,1.5689655172413794,1.1827586206896552,0.0,0.0,0.0,50.3
2016-03-06,70669494.00684953,21.01345939933259,1.8896551724137933,0.4719688542825362,8.455061179087876,0.09810901001112347,4.247497219132369,1.4241379310344828,1.1754171301446052,0.17419354838709677,3.07741935483871,0.0,49.18571428571429
2016-03-13,146681656.81016764,22.58064516129032,2.1000000000000005,0.4741935483870968,9.393548387096775,0.09032258064516129,4.154838709677419,1.4000000000000001,1.1741935483870969,0.20322580645161292,3.5903225806451617,1.0,49.0
2016-03-20,72968379.24160713,22.58064516129032,2.1000000000000005,0.4741935483870968,9.393548387096775,0.09032258064516129,4.154838709677419,1.4000000000000001,1.1741935483870969,0.20322580645161292,3.5903225806451617,0.0,49.0
2016-03-27,66385743.58579507,22.58064516129032,2.1000000000000005,0.4741935483870968,9.393548387096775,0.09032258064516129,4.154838709677419,1.4000000000000001,1.1741935483870969,0.20322580645161292,3.5903225806451617,0.0,49.0
2016-04-03,68594513.76478463,18.583225806451612,1.7200000000000002,0.3609677419354839,7.797741935483872,0.05161290322580645,4.024193548387097,1.37,1.090967741935484,0.11612903225806452,2.0516129032258066,0.0,50.199999999999996
2016-04-10,80814523.77988814,13.253333333333334,1.2133333333333334,0.21000000000000002,5.67,0.0,3.8500000000000005,1.33,0.9800000000000001,0.0,0.0,0.0,51.8
2016-04-17,65139348.62046418,13.253333333333334,1.2133333333333334,0.21000000000000002,5.67,0.0,3.8500000000000005,1.33,0.9800000000000001,0.0,0.0,0.0,51.8
2016-04-24,45435464.25046678,13.253333333333334,1.2133333333333334,0.21000000000000002,5.67,0.0,3.8500000000000005,1.33,0.9800000000000001,0.0,0.0,0.0,51.8
2016-05-01,115056622.0800146,13.879354838709677,1.0851612903225807,0.20580645161290323,5.8825806451612905,0.025806451612903226,4.064516129032258,1.3593548387096774,1.0625806451612905,0.035483870967741936,0.16129032258064516,0.0,51.15714285714285
2016-05-08,70811354.0,17.63548387096774,0.3161290322580645,0.18064516129032257,7.1580645161290315,0.18064516129032257,5.351612903225806,1.535483870967742,1.5580645161290323,0.24838709677419354,1.129032258064516,0.0,47.3
2016-05-15,73350364.0,17.63548387096774,0.3161290322580645,0.18064516129032257,7.1580645161290315,0.18064516129032257,5.351612903225806,1.535483870967742,1.5580645161290323,0.24838709677419354,1.129032258064516,0.0,47.3
2016-05-22,73572731.25026399,17.63548387096774,0.3161290322580645,0.18064516129032257,7.1580645161290315,0.18064516129032257,5.351612903225806,1.535483870967742,1.5580645161290323,0.24838709677419354,1.129032258064516,0.0,47.3
2016-05-29,145712657.32953706,17.63548387096774,0.3161290322580645,0.18064516129032257,7.1580645161290315,0.18064516129032257,5.351612903225806,1.535483870967742,1.5580645161290323,0.24838709677419354,1.129032258064516,1.0,47.3
2016-06-05,64607324.91703704,12.172043010752686,0.3736559139784946,0.28494623655913975,6.211827956989247,0.05161290322580645,2.8623655913978494,0.9053763440860214,1.0618279569892473,0.07096774193548387,0.3225806451612903,0.0,49.58571428571429
2016-06-12,65916632.82149458,9.986666666666666,0.39666666666666667,0.32666666666666666,5.833333333333334,0.0,1.8666666666666667,0.6533333333333333,0.8633333333333334,0.0,0.0,0.0,50.5
2016-06-19,66128465.0,9.986666666666666,0.39666666666666667,0.32666666666666666,5.833333333333334,0.0,1.8666666666666667,0.6533333333333333,0.8633333333333334,0.0,0.0,0.0,50.5
2016-06-26,72578678.13343246,9.986666666666666,0.39666666666666667,0.32666666666666666,5.833333333333334,0.0,1.8666666666666667,0.6533333333333333,0.8633333333333334,0.0,0.0,0.0,50.5
2016-07-03,38967376.75029377,5.706666666666666,0.22666666666666666,0.18666666666666665,3.3333333333333335,0.0,1.0666666666666667,0.3733333333333333,0.49333333333333335,0.0,0.0,0.0,50.5
